hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3)
112,34.04502698,26.46667895,0,864.5,2.87
113,36.13063436,30.83108684,0,864.5,2.87
114,37.61232554,32.15003684,0,1390.2,2.87
115,36.92883519,33.60956447,0,1390.2,2.87
116,36.3778061,35.36570132,0,1390.2,2.87
117,35.35685608,36.86789605,0,864.5,2.87
118,33.7374685,37.96789737,0,864.5,2.87
119,30.4404737,38.57140066,0,364.8,2.87
120,28.51000155,38.96485461,0,364.8,2.87
121,26.37543472,39.54759276,0,364.8,2.87
122,25.41635557,40.87755592,0,364.8,2.87
123,24.94264651,42.62573487,0,364.8,2.87
124,24.76529975,44.25845329,0,364.8,2.87
125,25.08067003,45.399825,0,364.8,2.87
126,26.56235083,45.94543816,0,364.8,2.87
127,29.32177542,46.16204211,0,864.5,2.87
128,32.41547369,42.46766053,0,864.5,2.87
129,36.48440919,36.14603684,0,864.5,2.87
130,37.86043493,31.19894408,0,1390.2,2.87
131,38.42217681,27.95670592,0,1390.2,2.87
132,37.1667615,26.0539875,0,1390.2,2.87
133,35.46707727,24.79909145,0,1390.2,2.87
134,35.47264632,24.35892039,0,1390.2,2.87
135,35.39379067,26.68219934,0,864.5,2.87
136,36.55654537,32.74648816,0,864.5,2.87
137,38.79600903,35.66845658,0,864.5,2.87
138,40.3870053,35.73204868,0,1390.2,2.87
139,39.65309352,36.22611316,0,1390.2,2.87
140,39.06141474,37.42510855,0,1390.2,2.87
141,37.96514874,38.30463355,0,864.5,2.87
142,36.22629814,38.81127434,0,864.5,2.87
143,32.68608241,39.87095329,0,364.8,2.87
144,27.98910486,40.59870987,0,364.8,2.87
145,25.89353798,41.09314737,0,364.8,2.87
146,24.95198185,41.83873816,0,364.8,2.87
147,24.48692777,42.56079276,0,364.8,2.87
148,24.31282125,43.06817961,0,364.8,2.87
149,24.62242951,43.33732697,0,364.8,2.87
150,26.07703901,43.78044671,0,364.8,2.87
151,28.78604709,44.11583289,0,864.5,2.87
152,31.82322143,42.38873882,0,864.5,2.87
153,35.81781477,39.99021513,0,864.5,2.87
154,37.16869961,36.90193026,0,1390.2,2.87
155,37.72017808,33.94781053,0,1390.2,2.87
156,36.48770005,31.80651513,0,1390.2,2.87
157,34.81907018,30.36510592,0,1390.2,2.87
158,34.82453748,29.81325789,0,1390.2,2.87
159,34.74712258,30.34363026,0,864.5,2.87
160,35.88863297,33.8191875,0,864.5,2.87
161,38.08718014,36.23749934,0,864.5,2.87
162,39.64910785,37.92089605,0,1390.2,2.87
163,38.92860514,39.79142763,0,1390.2,2.87
164,38.34773672,41.60206184,0,1390.2,2.87
165,37.27150023,42.91868487,0,864.5,2.87
166,35.56441959,43.68752763,0,864.5,2.87
167,32.08888595,44.16954868,0,364.8,2.87
168,28.6117948,44.49388618,0,364.8,2.87
169,26.46960663,44.58039276,0,364.8,2.87
170,25.50710315,44.45615724,0,364.8,2.87
171,25.03170274,44.12075329,0,364.8,2.87
172,24.85372277,43.87768224,0,364.8,2.87
173,25.17021906,44.32918618,0,364.8,2.87
174,26.65719012,44.78552171,0,364.8,2.87
175,29.42646707,45.15902763,0,864.5,2.87
176,32.5312112,44.57518816,0,864.5,2.87
177,36.61467459,41.90920461,0,864.5,2.87
178,37.99561335,37.92919145,0,1390.2,2.87
179,38.55936089,31.54299868,0,1390.2,2.87
180,37.2994632,27.29824342,0,1390.2,2.87
181,35.59371035,25.22599342,0,1390.2,2.87
182,35.59929928,24.83362303,0,1390.2,2.87
183,35.52016209,28.10611184,0,864.5,2.87
184,36.68706833,33.06627829,0,864.5,2.87
185,38.93452786,35.30043947,0,864.5,2.87
186,40.53120469,36.17483092,0,1390.2,2.87
187,39.79467253,37.20724342,0,1390.2,2.87
188,39.20088119,37.96155592,0,1390.2,2.87
189,38.10070104,38.46698882,0,864.5,2.87
190,36.35564198,39.4824375,0,864.5,2.87
191,32.80278612,40.81510066,0,364.8,2.87
192,28.72532604,41.62574013,0,364.8,2.87
193,26.57463769,42.43936382,0,364.8,2.87
194,25.60831501,43.26540395,0,364.8,2.87
195,25.13102821,43.83485526,0,364.8,2.87
196,24.95234202,44.43912237,0,364.8,2.87
197,25.27009417,44.78676513,0,364.8,2.87
198,26.7629655,44.88787303,0,364.8,2.87
199,29.54323091,45.01059868,0,864.5,2.87
200,32.66029463,41.24845066,0,864.5,2.87
201,36.75996115,36.25483618,0,864.5,2.87
202,38.14637946,31.23141513,0,1390.2,2.87
203,38.71236394,27.17647697,0,1390.2,2.87
204,37.44746699,24.18784342,0,1390.2,2.87
205,35.73494573,22.32066908,0,1390.2,2.87
206,35.74055684,21.69423355,0,1390.2,2.87
207,35.66110563,23.77671513,0,864.5,2.87
208,36.83264214,27.07549342,0,864.5,2.87
209,39.08901957,30.02451513,0,864.5,2.87
210,40.69203198,31.552875,0,1390.2,2.87
211,39.95257727,32.16755132,0,1390.2,2.87
212,39.35642978,33.754725,0,1390.2,2.87
213,38.25188413,35.39238158,0,864.5,2.87
214,36.4999007,36.69507829,0,864.5,2.87
215,32.93294715,38.17215592,0,364.8,2.87
216,28.30506805,39.34235724,0,364.8,2.87
217,26.18584476,39.84525,0,364.8,2.87
218,25.23365959,39.93133026,0,364.8,2.87
219,24.76335561,39.85848355,0,364.8,2.87
220,24.58728364,39.98696447,0,364.8,2.87
221,24.900387,39.79727171,0,364.8,2.87
222,26.37141729,39.12573553,0,364.8,2.87
223,29.11100679,38.5070625,0,864.5,2.87
224,32.18246717,36.06629803,0,864.5,2.87
225,36.22215464,31.02211184,0,864.5,2.87
226,37.58828934,25.69170789,0,1390.2,2.87
227,38.14599334,20.81534803,0,1390.2,2.87
228,36.89960212,17.32749868,0,1390.2,2.87
229,35.21213543,15.48817697,0,1390.2,2.87
230,35.21766445,16.80128289,0,1390.2,2.87
231,35.13937563,21.65774803,0,864.5,2.87
232,36.2937723,27.30120987,0,864.5,2.87
233,38.51713841,29.56617237,0,864.5,2.87
234,40.0966984,29.77693224,0,1390.2,2.87
235,39.36806208,29.89175329,0,1390.2,2.87
236,38.78063636,29.66818618,0,1390.2,2.87
237,37.69225045,30.67946053,0,864.5,2.87
238,35.96589893,32.03901711,0,864.5,2.87
239,32.45113072,32.81274474,0,364.8,2.87
240,27.34890416,33.63850066,0,364.8,2.87
241,25.30126963,34.74685066,0,364.8,2.87
242,24.38124991,35.5951125,0,364.8,2.87
243,23.92683311,36.31940526,0,364.8,2.87
244,23.75670897,37.17226776,0,364.8,2.87
245,24.05923549,38.5036875,0,364.8,2.87
246,25.4805734,39.86287105,0,364.8,2.87
247,28.12761776,40.59631184,0,864.5,2.87
248,31.09532218,38.13426711,0,864.5,2.87
249,34.99854634,34.11164013,0,864.5,2.87
250,36.31853211,30.75703224,0,1390.2,2.87
251,36.8573965,28.07916513,0,1390.2,2.87
252,35.6531092,26.21428224,0,1390.2,2.87
253,34.02264625,25.13671579,0,1390.2,2.87
254,34.02798849,24.99663553,0,1390.2,2.87
255,33.95234432,27.09121382,0,864.5,2.87
256,35.06774471,33.09576513,0,864.5,2.87
257,37.21600405,35.68559803,0,864.5,2.87
258,38.74220545,35.86703092,0,1390.2,2.87
259,38.03818295,36.13319408,0,1390.2,2.87
260,37.47060085,36.56839145,0,1390.2,2.87
261,36.41898135,37.09540658,0,864.5,2.87
262,34.75094712,37.82765724,0,864.5,2.87
