total_annual_cost,investment_cost,operational_cost,gas_import_mwh,elec_import_mwh,solve_time,gas_invested_capacity_mw,gas_price_multiplier,gas_invest_multiplier
91570419.27,25698.71,91544720.56,450196.9,109271.15,4.59,120.0,0.4,0.3
91570113.92,25393.37,91544720.56,450196.9,109271.15,4.57,120.0,0.4,0.2
91570010.83,25088.02,91544922.81,450181.2,109276.65,4.67,120.0,0.4,0.1
91569705.49,24782.68,91544922.81,450181.2,109276.65,4.91,146.0,0.4,0.0
78649818.61,27836.11,78621982.5,450247.09,109253.58,5.39,120.0,0.3,1.0
78649513.26,27530.77,78621982.5,450247.09,109253.58,5.63,120.0,0.3,0.9
78649207.92,27225.42,78621982.5,450247.09,109253.58,5.6,120.0,0.3,0.8
78648902.58,26920.08,78621982.5,450247.09,109253.58,5.13,120.0,0.3,0.7
78648597.24,26614.74,78621982.5,450247.09,109253.58,5.77,120.0,0.3,0.6
78648291.89,26309.39,78621982.5,450247.09,109253.58,6.42,120.0,0.3,0.5
78647986.55,26004.05,78621982.5,450247.09,109253.58,5.85,120.0,0.3,0.4
78647681.21,25698.71,78621982.5,450247.09,109253.58,6.16,120.0,0.3,0.3
78647375.86,25393.37,78621982.5,450247.09,109253.58,5.97,120.0,0.3,0.2
78647535.39,25088.02,78622447.37,450235.91,109257.5,5.11,120.0,0.3,0.1
78646765.18,24782.68,78621982.5,450247.09,109253.58,6.43,146.0,0.3,0.0
65727727.03,27836.11,65699890.92,450247.09,109253.58,7.36,120.0,0.2,1.0
65727421.69,27530.77,65699890.92,450247.09,109253.58,7.57,120.0,0.2,0.9
65727116.35,27225.42,65699890.93,450247.09,109253.58,7.7,120.0,0.2,0.8
65726811.01,26920.08,65699890.92,450247.09,109253.58,7.87,120.0,0.2,0.7
65726505.66,26614.74,65699890.92,450247.09,109253.58,7.74,120.0,0.2,0.6
65726200.32,26309.39,65699890.92,450247.09,109253.58,8.09,120.0,0.2,0.5
65725894.98,26004.05,65699890.92,450247.09,109253.58,9.16,120.0,0.2,0.4
65725589.63,25698.71,65699890.92,450247.09,109253.58,9.49,120.0,0.2,0.3
65725284.29,25393.37,65699890.92,450247.09,109253.58,14.78,120.0,0.2,0.2
65724978.95,25088.02,65699890.92,450247.09,109253.58,15.21,120.0,0.2,0.1
65724673.61,24782.68,65699890.92,450247.09,109253.58,13.74,146.0,0.2,0.0
52805635.46,27836.11,52777799.35,450247.09,109253.58,33.14,120.0,0.1,1.0
52805330.12,27530.77,52777799.35,450247.09,109253.58,43.86,120.0,0.1,0.9
52805024.73,27225.42,52777799.31,450247.09,109253.58,35.67,120.0,0.1,0.8
52804719.43,26920.08,52777799.35,450247.09,109253.58,37.74,120.0,0.1,0.7
